transaction_id,amount,date,merchant_name,reference_number
BK00026,718.17,2026-07-12,Goibibo Hotels,TXN810967485733
BK00072,4067.72,2026-04-05,PVR Cinema,PAY733085416072
BK00054,49897.04,2026-07-12,Boat Lifestyle,NEFT688833778006
BK00018,214.57,2026-03-20,Croma Electronics,TXN627540089585
BK00039,37606.54,2026-02-19,Rapido Bike Taxi,IMPS353953432737
BK00063,13668.15,2026-05-20,Tata CLiQ,IMPS471404490349
BK00002,931.93,2026-06-26,Vijay Sales,PAY481367606524
BK00060,38968.67,2026-04-15,PharmEasy,IMPS982848731919
BK00041,542.08,2026-05-28,Paytm Mall,UPI967102439281
BK00012,4806.64,2026-07-07,Tanishq Jewellery,REF998142403927
BK00038,3189.5,2026-06-19,DMart Ready,PAY551245247402
BK00032,1468.72,2026-03-31,Vistara Airlines,TXN812343829484
BK00001,44659.35,2026-04-08,Ola Cabs,IMPS190268310679
BK00042,21894.13,2026-05-31,IndiGo Airlines,UPI618902545673
BK00055,7135.52,2026-02-17,Zomato,NEFT977112030342
BK00070,3017.98,2026-01-28,Kalyan Jwellers,IMPS313678796352
BK00008,4942.46,2026-05-13,Nykaa Beauty,TXN145284257239
BK00043,6343.71,2026-03-16,Amazon India,NEFT366792261100
BK00014,702.08,2026-03-22,Swiggy Food Delivery,TXN008495500653
BK00005,2003.86,2026-04-22,Zomato,UPI403959807652
BK00046,6862.93,2026-03-13,Healthkart,UPI320985996207
BK00064,598.02,2026-07-15,Swiggy Food Delivery,UPI331184665072
BK00066,7362.64,2026-06-18,Zepto Delivery,TXN502141043542
BK00068,25933.87,2026-04-13,Croma Electronics,PAY352547168584
BK00003,8961.26,2026-06-14,FabIndia,IMPS237088409572
BK00010,9856.5,2026-01-26,PharmEasy,IMPS195478104447
BK00056,2421.62,2026-04-26,Unacademy,TXN086291422089
BK00045,135.83,2026-04-21,JioMart,TXN013752166954
BK00036,3415.29,2026-08-07,HDFC Life Insurance,NEFT968747928544
BK00028,3152.97,2026-04-23,Manyavar,IMPS884941847827
BK00023,30284.9,2026-06-20,EaseMyTrip,REF586971499661
BK00007,9800.88,2026-05-17,Uber India,IMPS954139822507
BK00061,9313.96,2026-06-06,OYO Rooms,PAY032137236364
BK00067,647.44,2026-07-02,Mamaearth,IMPS360984174831
BK00004,16113.65,2026-02-10,Boat Lifestyle,NEFT117574539147
BK00079,13611.86,2026-06-02,Kalyan Jewellers,TXN446753040326
BK00009,701.41,2026-02-24,MakeMyTrip,NEFT123522062980
BK00050,7715.89,2026-02-04,Urban Company,NEFT961927444411
BK00011,1455.24,2026-05-19,OYO Rooms,REF438214422948
BK00027,778.97,2026-04-24,IRCTC Rail,REF728645911455
BK00034,720.86,2026-06-10,Byju's Learning,IMPS671891036937
BK00033,7901.32,2026-02-12,Cleartrip,TXN676791011652
BK00025,19394.74,2026-03-21,BookMyShow,UPI346579762660
BK00062,422.92,2026-06-28,Tanishq Jewellery,TXN664761009125
BK00030,9079.4,2026-05-05,PVR Cinemas,IMPS908549238857
BK00058,7099.2,2026-07-07,Nykaa Beauty,REF567064927636
BK00037,891.41,2026-06-29,Upgrad Education,TXN808246308127
BK00080,8535.56,2026-07-02,PVR Cinemas,IMPS359709516594
BK00071,3406.76,2026-02-16,IRCTC Rail Booking,PAY837588986609
BK00013,556.54,2026-08-06,Tata CLiQ,IMPS641207030495
BK00065,1213.4,2026-07-22,Dunzo Quick,IMPS228319081121
BK00059,584.93,2026-04-07,MakeMyTrip,UPI869634570271
BK00052,8385.91,2026-02-10,Vijay Sales,NEFT431652707783
BK00073,778.69,2026-01-30,Blinkit Groshery,PAY775001662644
BK00016,203.77,2026-01-28,Zepto Delivery,TXN318769608269
BK00035,8400.16,2026-01-28,Ajio Fashion,TXN178619734353
BK00015,413.76,2026-01-18,Dunzo Quick,TXN216499065055
BK00029,848.77,2026-04-10,Kalyan Jewellers,REF723801312434
BK00051,4105.77,2026-05-25,Ola Cabs,REF274958225941
BK00048,4977.93,2026-01-14,BigBasket,NEFT021788084056
BK00078,972.9,2026-03-22,Manyavar,IMPS170964556869
BK00019,44584.23,2026-07-24,Air India,PAY878822178461
BK00040,149.02,2026-03-16,Blinkit Grocery,TXN725759823371
BK00069,153.92,2026-05-24,Swiggy Fud Delivery,NEFT733296400473
BK00031,1755.44,2026-04-20,Vedantu Classes,TXN243677899595
BK00047,7843.74,2026-01-10,1mg Pharmacy,TXN948944311446
BK00053,3384.94,2026-06-12,FabIndia,REF193180901890
BK00006,5853.87,2026-07-19,Unacademy,TXN498251982661
BK00057,846.2,2026-04-14,Uber India,IMPS296439813326
BK00022,139.9,2026-04-22,Lenskart,REF825905374918
BK00024,806.4,2026-06-05,Policy Bazaar,NEFT365163715483
BK00021,3980.02,2026-01-08,INOX Movies,NEFT388263207356
BK00020,18897.35,2026-07-29,Reliance Fresh,TXN807398882718
BK00049,856.42,2026-01-30,Flipkart,TXN212840677304
BK00017,103.19,2026-07-17,Mamaearth,UPI526726249804
BK00044,9174.79,2026-07-31,Myntra Fashion,REF277469766945
